processed_review,sentiment,confidence
never watched show consistently genuine engaging breaking bad undoubtedly one greatest show ever consistently improves progress journey walter white jesse pinkman unforgettable bestwritten character ever come penhitting paper praise acting cinematography unending shot intricate work art rarely distracted acting performance excellent extent feel improper refer performance overall breaking bad consistently maintains level engagement technical quality seen best movie term tone every intense moment executed excellence always achieves impact reach feel like show plot early season lack certain level complexity due vast amount plot thread start bit slowpaced breaking bad absolute mustwatch mixed feeling towards season trust uphill ever series could call perfect think might,POSITIVE,0.9888690710067749
rewatched time counting guess liked,NEGATIVE,0.9907825589179993
one greatest show ever pacing excellent character well developed entertaining show tie everything together neatly honestly show get better time view cathartic see walter break bad story unravels best way could good storytelling well done vince gilligan,POSITIVE,0.9975663423538208
stress enough good show ive watched lot tv life show still remains best show ive ever seen,POSITIVE,0.998499870300293
breaking bad absolutely without doubt one greatest tv show ever createdits damn near perfect know people say ton different show breaking bad really universally thought one greatest show alltime go google greatest tv show alltime guarantee near top every list youll find there reason thatbecause every season brilliant others everyone know almost impossible show one breaking bad absolutely pull youre one people still havent seen amazing show favor go watch immediatelyyou disappointed,NEGATIVE,0.9887269735336304
finish show youll never samei guarantee,NEGATIVE,0.9931939840316772
breaking bad every bit good everyone say easily one favorite show alltime one best show history television read review look rating see loved show really writing acting make show special love show much ive already watched way twice already plan sometime near future there nothing say incredible show hasnt already said go watch plan ahead give enough time youre going want binge quickly addicting start,NEGATIVE,0.5430088639259338
wan na delete brain watch like never knew,NEGATIVE,0.999278724193573
direction perfect screenplayperfect writingperfect scoreperfect cinematographyperfect castingperfect beginningperfect climaxperfect actingbeyond perfect overallas said absolute perfection,POSITIVE,0.9995203018188477
breaking bad one popular rated show imdb one rarity every season either positively received nearuniversally acclaimed critically friend said nothing great thing show recent memory hooked start week whole show watched especially lot show airing watching one episode way endeavour breaking bad effect reputation one best consistently brilliant addictive show many year maybe even ever deserved eye weakest season perhaps first season understandable show first season one thing still settling actually everything established remarkably start writing characterisation becomes even meatier show reach even higher level visually breaking bad one show stylish beautiful photography editing cinematic quality put lot film today shame lot visually beautiful one also painfully amateurish looking one music always appropriate mood never intrusive never muted writing breaking bad fine example show lot style also lot substance dialogue throughout thoughtprovoking tense also darkly wicked sense humour hearttugging pathos story texturally rich intimate tense layered pace consistently deliberate taut direction couldnt better cant say anything bad acting bryan cranston phenomenal one fascinating antihero even kind character either film television aaron paul never better anna gunn affecting character compelling realism overall describing brilliant doesnt breaking bad justice bethany cox,POSITIVE,0.8426333665847778
time date final episode day filena best tv show ever season one little slow like season two season three season four season five perfect good character tv show like walter white giancarlo esposito mike hank jesse love whata story breaking bad heart stay brain forever miss tv show coming soon good point im saw better call saul next better call saul im happy see best tv show ever date special awake watch filena final episode thank breaking bad love,POSITIVE,0.989850640296936
heard show good wonder people watching far trying stay awake first season show move slow keep hoping would pick already cant stand walts wife would like kill jesse worthless walt stupid thing dont think continue watching mess show,NEGATIVE,0.9973324537277222
never watched series depicts emotion exactly camera angle dialogue screen play perfect story line breaking bad lucky enough born watch series like teach u loyalty family love pain many thing anything series teach people live life different way change people mindset towarss life scene stay forever series change way watch tv series life matter dont think ever see series better perfection,NEGATIVE,0.662338137626648
breaking bad feel like fever dream really really good fever dream directing absolutely perfect character bounce really well done way really feel true emotion pure character coming one feel greed lust money hunger animal character true hero story except hank love u,POSITIVE,0.9994052648544312
